,log_price,city-mpg,curb-weight
0,9.510074525452104,21.0,2548
1,9.711115659888671,21.0,2548
2,9.711115659888671,19.0,2823
3,9.543234787249512,24.0,2337
4,9.767094927630573,18.0,2824
5,9.632334782035558,19.0,2507
6,9.781884730776879,19.0,2844
7,9.847974842605868,19.0,2954
8,10.08058716534893,17.0,3086
10,9.706864211031315,23.0,2395
11,9.736547097780475,23.0,2395
12,9.950848123895966,21.0,2710
13,9.9572652582166,21.0,2765
14,10.109077944602749,20.0,3055
15,10.333970423619581,16.0,3230
16,10.628980909135285,16.0,3380
17,10.51542467767053,15.0,3505
18,8.546946149565585,47.0,1488
19,8.747510946478448,38.0,1874
20,8.791029857045965,38.0,1909
21,8.625509334899697,37.0,1876
22,8.760453046315272,31.0,1876
23,8.981807323377534,24.0,2128
24,8.736971085254146,31.0,1967
25,8.808668062106715,31.0,1989
26,8.937087036176523,31.0,1989
27,9.054621796976763,24.0,2191
28,9.096163326913784,24.0,2535
29,9.469931564261438,19.0,2811
30,8.776321456449958,49.0,1713
31,8.832733591996416,31.0,1819
32,8.593969030218288,38.0,1837
33,8.784009071186633,30.0,1940
34,8.871926251117628,30.0,1956
35,8.894944460956886,30.0,2010
36,8.894944460956886,30.0,2024
37,8.973984926689743,27.0,2236
38,9.115480090952223,27.0,2289
39,9.087607606593886,27.0,2304
40,9.23941361946189,27.0,2372
41,9.468464892185638,24.0,2465
42,9.244258590179644,25.0,2293
43,8.82246957226897,24.0,2337
46,9.310004695089129,24.0,2734
47,10.381273322223919,15.0,4066
48,10.478695435231387,15.0,4066
49,10.491274217438248,13.0,3950
50,8.555451903533328,30.0,1890
51,8.715224041915372,31.0,1900
52,8.823942326585245,31.0,1905
53,8.809116258125274,31.0,1945
54,8.9085593751449,31.0,1950
55,9.300638009956963,17.0,2380
56,9.379661116592885,17.0,2380
57,9.521128433142438,17.0,2385
58,9.657906656102982,16.0,2500
59,9.087607606593886,26.0,2385
60,9.047233034106032,26.0,2410
61,9.2681374707024,26.0,2385
62,9.234545060673,26.0,2410
63,9.286838342948908,36.0,2443
64,9.327678864393416,26.0,2425
65,9.813562845008141,19.0,2670
66,9.81705782453774,31.0,2700
67,10.148470870454794,22.0,3515
68,10.248777937608223,22.0,3750
69,10.246225830735987,22.0,3495
70,10.360912399575003,22.0,3770
71,10.439512977323862,16.0,3740
